Identifier,Title,Description,Currency,Amount Applied For,Amount Awarded,Amount Disbursed,Award Date,URL,Planned Dates:Start Date,Planned Dates:End Date,Actual Dates:End Date,Planned Dates:Duration (months),Recipient Org:Identifier,Recipient Org:Name,Recipient Org:Charity Number,Recipient Org:Company Number,Recipient Org:Street Address,Recipient Org:City,Recipient Org:Postal Code,Recipient Org:Description,Recipient Org:Web Address,Beneficiary Location:Name,Beneficiary Location:Country Code,Beneficiary Location:Latitude,Beneficiary Location:Longitude,Beneficiary Location:Geographic Code,Beneficiary Location:Geographic Code Type,Funding Org:Identifier,Funding Org:Name,Funding Org:Department,Grant Programme:Code,Grant Programme:Title,Grant Programme:URL,From an open call?,Related Activity,Last modified,Data Source
360G-zing-1,Core funding for Greenhouse's Bethwin Community Football Club,Funds used for the Greenhouse's Community Football Club: Greenhouse Bethwin FC U14s teams.,GBP,50000,50000,50000,2010-12-01,https://www.greenhousesports.org/,2010-12-01,2011-12-01,2011-12-01,12,GB-CHC-1098744,Greenhouse Sports,1098744,04600790,"Unit 2D Woodstock Studios, 36 Woodstock Grove",London,W12 8LE,"Greenhouse empower disadvantaged young people through sport and performing arts, helping them to overcome adversity and achieve their goals by: Raising aspirations and achievements; Developing positive life skills such as self-discipline, teamwork and self-respect; Improving behaviour and attitudes; Developing technical skills and talent. ",https://www.greenhousesports.org/,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2019-12-17T17:26:02Z,https://zing.org.uk/
360G-zing-2,Chikambola Youth Project,Economic Empowerment/ Sustainable Livelihoods Programme at Chikambola Youth Project in Zambia,GBP,60000,60000,60000,2010-12-01,https://www.weseehope.org.uk,2010-12-01,2011-12-31,2011-12-31,12,GB-CHC-1079385,We See Hope,1079385,03926278,79 Craven Gardens,London,SW19 8LU,"We See Hope is helping some 50,000 vulnerable children and young people through some 40 partner organisations in 400 communities in sub-Saharan Africa. They are defined by: Productive partnerships; Investment; Enterprise and innocation; Being positive and passionate about potential.",https://www.weseehope.org.uk/,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2019-12-17T17:26:02Z,https://zing.org.uk/
360G-zing-4,Digital strategy and core schools programme,Portion of the funds will be supporting the development and execution of Place2Be's Digital Strategy with the remainder focused on the core schools programme.,GBP,50000,50000,50000,2011-07-01,https://www.theplace2be.org.uk/,2011-07-01,2012-07-01,2012-07-01,12,GB-CHC-1040756,Place2Be,1040756,02876150,"13/14 Angel Gate, 326 City Road",London,EC1V 2PT,Place2Be is the leading UK provider of school-based emotional and mental health services working with 500 schools often in areas of deprivation.,https://www.theplace2be.org.uk/,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2019-12-17T17:26:02Z,https://zing.org.uk/
360G-zing-5,Uganda capacity building programme,Funds for a ground-breaking Capacity Building Programme which will be piloted initially in Uganda.,GBP,50000,50000,50000,2011-07-01,http://www.restlessdevelopment.org/,2011-07-01,2012-07-01,2012-06-30,12,GB-CHC-1127488,Restless Development,1127488,06741123,7 Wootton Street,London,SE1 8TG,Restless Development are the youth-led development agency. Their staff and volunteers are experts in youth-led development. The organisation is driven forward by young people and young professionals around the world.,http://restlessdevelopment.org/,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2019-12-17T17:26:02Z,https://zing.org.uk/
360G-zing-6,Core funding for Greenhouse's Bethwin Community Football Club,Funds used for the Greenhouse's Community Football Club: Greenhouse Bethwin FC U14s teams.,GBP,32500,32500,32500,2012-01-01,https://www.greenhousesports.org/,2012-01-01,2012-07-01,2012-07-01,6,GB-CHC-1098744,Greenhouse Sports,1098744,04600790,"Unit 2D Woodstock Studios, 36 Woodstock Grove",London,W12 8LE,"Greenhouse empower disadvantaged young people through sport and performing arts, helping them to overcome adversity and achieve their goals by: Raising aspirations and achievements; Developing positive life skills such as self-discipline, teamwork and self-respect; Improving behaviour and attitudes; Developing technical skills and talent. ",https://www.greenhousesports.org/,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2019-12-17T17:26:02Z,https://zing.org.uk/
360G-zing-7,Core funding for an Ernest Bevin schools programme,"Schools Programme with support for judo, table tennis and volleyball programmes in Ernest Bevin School.",GBP,67500,67500,67500,2012-07-01,https://www.greenhousesports.org/,2012-07-01,2013-07-01,2013-07-01,12,GB-CHC-1098744,Greenhouse Sports,1098744,04600790,"Unit 2D Woodstock Studios, 36 Woodstock Grove",London,W12 8LE,"Greenhouse empower disadvantaged young people through sport and performing arts, helping them to overcome adversity and achieve their goals by: Raising aspirations and achievements; Developing positive life skills such as self-discipline, teamwork and self-respect; Improving behaviour and attitudes; Developing technical skills and talent. ",https://www.greenhousesports.org/,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2019-12-17T17:26:02Z,https://zing.org.uk/
360G-zing-8,"Chikombola Youth Project, ACET and VSLA pilot","Funds are split into two sections: 30,000 funds to continue support of the Chikombola Youth Project, and the remaining 25,000 to support the ACET Orphans Affair Council and Village Savings and Loans Association programme (VSLA) in Uganda. ",GBP,55000,55000,55000,2012-07-01,https://www.weseehope.org.uk,2012-07-01,2013-07-01,2013-06-30,12,GB-CHC-1079385,We See Hope,1079385,03926278,79 Craven Gardens,London,SW19 8LU,"We See Hope is helping some 50,000 vulnerable children and young people through some 40 partner organisations in 400 communities in sub-Saharan Africa. They are defined by: Productive partnerships; Investment; Enterprise and innocation; Being positive and passionate about potential.",https://www.weseehope.org.uk/,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2019-12-17T17:26:02Z,https://zing.org.uk/
360G-zing-9,State school alumni volunteer database development,"Funding was to supplement a major Cabinet Office grant to create an army of state school alumni volunteers by developing a database management system, combined with email/sms outreach. ",GBP,75000,75000,75000,2012-01-01,https://futurefirst.org.uk/,2012-01-01,2013-01-01,2013-01-01,12,GB-CHC-1135638,Future First,1135638,,338 City Road,London,EC1V 2PY,"Future First have a vision that every state secondary school and college should be supported by a thriving, engaged alumni community that helps each one to do more for its students. ",https://futurefirst.org.uk/,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2019-12-17T17:26:02Z,https://zing.org.uk/
360G-zing-11,Tanzania online recruitment feasibility study,Feasibility study into commercial and social value of an online recruitment platform to match Restless Development alumni with opportunities in the burgeoning private sector in Tanzania.,GBP,25000,25000,25000,2012-01-01,http://www.restlessdevelopment.org/,2012-01-01,2012-07-01,2012-06-30,6,GB-CHC-1127488,Restless Development,1127488,06741123,7 Wootton Street,London,SE1 8TG,Restless Development are the youth-led development agency. Their staff and volunteers are experts in youth-led development. The organisation is driven forward by young people and young professionals around the world.,https://futurefirst.org.uk/,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2019-12-17T17:26:02Z,https://zing.org.uk/
360G-zing-12,Core open-source functionality development,Funding is used to enhance open source CiviCRM core functionality as well as develop new functionality such as integration with SMS.,USD,100000,100000,100000,2012-04-01,https://civicrm.org/,2012-04-01,2013-04-01,2012-12-31,12,US-EIN-52-2173971,Progressive Technology Trust,EIN 52-2173971,,PO Box 303190,"Austin, TX",78703,"CiviCRM is an open source CRM built by a community of contributors and supporters, and coordinated by the Core Team. CiviCRM is web-based software used by a diverse range of organisations, particularly not-for-profit organizations (nonprofts and civic sector organizations). CiviCRM offers a complete feature set out of the box and can integrate with your website.",https://civicrm.org/,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2019-12-17T17:26:02Z,https://zing.org.uk/
